GEOID,NAME,variable,estimate,moe
53037,"Kittitas County, Washington",pop,44147,NA
53037,"Kittitas County, Washington",pop_white,37429,574.2978723404256
53037,"Kittitas County, Washington",pop_black,439,153.70212765957447
53037,"Kittitas County, Washington",pop_native,212,100.08510638297872
53037,"Kittitas County, Washington",pop_asian,611,228.7659574468085
53037,"Kittitas County, Washington",pop_latinx,4097,NA
53037,"Kittitas County, Washington",edu_total,27206,250.2127659574468
53037,"Kittitas County, Washington",edu_8th,73,51.234042553191486
53037,"Kittitas County, Washington",edu_9th,449,170.38297872340425
53037,"Kittitas County, Washington",edu_10th,200,122.72340425531914
53037,"Kittitas County, Washington",edu_11th,457,239.48936170212764
53037,"Kittitas County, Washington",edu_12th,425,152.51063829787233
53037,"Kittitas County, Washington",edu_hs,5508,632.6808510638298
53037,"Kittitas County, Washington",edu_ged,1324,299.06382978723406
53039,"Klickitat County, Washington",pop,22478,NA
53039,"Klickitat County, Washington",pop_white,20137,362.2127659574468
53039,"Klickitat County, Washington",pop_black,156,65.53191489361701
53039,"Klickitat County, Washington",pop_native,308,185.87234042553192
53039,"Klickitat County, Washington",pop_asian,90,67.91489361702128
53039,"Klickitat County, Washington",pop_latinx,2714,NA
53039,"Klickitat County, Washington",edu_total,16786,123.91489361702128
53039,"Klickitat County, Washington",edu_8th,163,103.6595744680851
53039,"Klickitat County, Washington",edu_9th,251,120.34042553191489
53039,"Klickitat County, Washington",edu_10th,243,140.59574468085106
53039,"Klickitat County, Washington",edu_11th,364,220.4255319148936
53039,"Klickitat County, Washington",edu_12th,97,78.63829787234042
53039,"Klickitat County, Washington",edu_hs,3704,554.0425531914893
53039,"Klickitat County, Washington",edu_ged,793,239.48936170212764
53041,"Lewis County, Washington",pop,81214,NA
53041,"Lewis County, Washington",pop_white,70011,774.4680851063829
53041,"Lewis County, Washington",pop_black,534,122.72340425531914
53041,"Lewis County, Washington",pop_native,623,243.06382978723403
53041,"Lewis County, Washington",pop_asian,951,315.74468085106383
53041,"Lewis County, Washington",pop_latinx,8881,NA
53041,"Lewis County, Washington",edu_total,57626,123.91489361702128
53041,"Lewis County, Washington",edu_8th,686,284.7659574468085
53041,"Lewis County, Washington",edu_9th,711,226.38297872340425
53041,"Lewis County, Washington",edu_10th,1091,297.8723404255319
53041,"Lewis County, Washington",edu_11th,1222,318.12765957446805
53041,"Lewis County, Washington",edu_12th,1105,302.6382978723404
53041,"Lewis County, Washington",edu_hs,14041,966.2978723404254
53041,"Lewis County, Washington",edu_ged,3298,544.5106382978723
53043,"Lincoln County, Washington",pop,10798,NA
53043,"Lincoln County, Washington",pop_white,9994,63.148936170212764
53043,"Lincoln County, Washington",pop_black,72,44.08510638297872
53043,"Lincoln County, Washington",pop_native,180,73.87234042553192
53043,"Lincoln County, Washington",pop_asian,82,23.829787234042552
53043,"Lincoln County, Washington",pop_latinx,399,NA
53043,"Lincoln County, Washington",edu_total,7696,59.57446808510638
